Date,Price,Open,High,Low,Vol.,Change %
5/1/2014,80.37,79.51,80.58,78.91,,1.13%
4/1/2014,79.47,80.1,80.6,79.33,,-0.78%
3/1/2014,80.1,79.9,80.35,79.27,,0.51%
2/1/2014,79.69,81.28,81.32,79.69,,-1.99%
1/1/2014,81.31,80.21,81.39,80.08,,1.59%
12/1/2013,80.04,80.66,80.99,79.69,,-0.80%
11/1/2013,80.68,80.23,81.48,80.25,,0.60%
10/1/2013,80.19,80.27,80.75,79,,-0.03%
9/1/2013,80.22,82.05,82.67,80.03,,-2.27%
8/1/2013,82.09,81.66,82.49,80.75,,0.78%
7/1/2013,81.45,83.18,84.75,81.41,,-2.03%
6/1/2013,83.14,83.32,83.38,80.5,,-0.15%
5/1/2013,83.26,81.71,84.5,81.33,,1.85%
4/1/2013,81.75,83.05,83.49,81.6,,-1.77%
3/1/2013,83.22,81.92,83.3,81.78,,1.55%
2/1/2013,81.95,79.13,82,78.92,,3.46%
1/1/2013,79.21,79.69,80.87,79.13,,-0.70%
12/1/2012,79.77,80.24,80.66,79.01,,-0.48%
11/1/2012,80.15,79.95,81.46,79.86,,0.29%
10/1/2012,79.92,79.95,80.32,78.93,,-0.02%
9/1/2012,79.93,81.29,81.67,78.6,,-1.57%
8/1/2012,81.21,82.7,83.51,80.96,,-1.72%
7/1/2012,82.64,81.56,84.1,81.53,,1.23%
6/1/2012,81.63,83.07,83.54,81.19,,-1.71%
5/1/2012,83.04,78.78,83.21,78.6,,5.41%
4/1/2012,78.78,78.89,80.18,78.64,,-0.28%
3/1/2012,79,78.77,80.74,78.63,,0.33%
2/1/2012,78.74,79.32,80.12,78.09,,-0.69%
1/1/2012,79.29,80.28,81.78,78.74,,-1.11%
12/1/2011,80.18,78.33,80.85,77.97,,2.30%
11/1/2011,78.38,76.56,79.7,76.46,,2.90%
10/1/2011,76.17,79.02,79.84,74.72,,-3.03%
9/1/2011,78.55,74.17,78.86,74.15,,5.98%
8/1/2011,74.12,73.81,75.42,73.45,,0.30%
7/1/2011,73.9,74.45,76.72,73.42,,-0.54%
6/1/2011,74.3,74.43,76.02,73.51,,-0.46%
5/1/2011,74.64,72.99,76.37,72.7,,2.34%
4/1/2011,72.93,76.05,76.61,72.83,,-3.86%
3/1/2011,75.86,76.86,77.38,75.34,,-1.34%
2/1/2011,76.89,77.61,78.87,76.76,,-1.08%
1/1/2011,77.73,79.14,81.31,77.54,,-1.64%
12/1/2010,79.03,81.26,81.36,78.78,,-2.66%
11/1/2010,81.19,76.97,81.44,75.63,,5.07%
10/1/2010,77.27,78.8,78.83,76.14,,-1.84%
9/1/2010,78.72,83.09,83.22,78.41,,-5.38%
8/1/2010,83.2,81.5,83.56,80.08,,2.04%
7/1/2010,81.54,86.1,86.26,81.46,,-5.21%
6/1/2010,86.02,86.58,88.71,85.09,,-0.66%
5/1/2010,86.59,81.84,87.46,81.83,,5.77%
4/1/2010,81.87,81.04,82.71,80.03,,0.99%
3/1/2010,81.07,80.42,82.24,79.51,,0.88%
2/1/2010,80.36,79.46,81.34,78.68,,1.13%
1/1/2010,79.46,77.92,79.5,76.6,,2.05%
12/1/2009,77.86,74.71,78.45,74.27,,4.12%
11/1/2009,74.78,76.37,76.82,74.17,,-1.99%
10/1/2009,76.3,76.65,77.47,74.94,,-0.46%
9/1/2009,76.65,78.11,78.94,75.83,,-1.94%
8/1/2009,78.17,78.25,79.51,77.43,,-0.23%
7/1/2009,78.35,80.12,80.89,78.22,,-2.26%
6/1/2009,80.16,79.35,81.47,78.33,,1.17%
5/1/2009,79.23,84.72,84.87,79.18,,-6.59%
4/1/2009,84.82,85.53,86.87,83.73,,-0.81%
3/1/2009,85.51,88.58,89.62,82.63,,-3.02%
2/1/2009,88.17,86.08,88.49,84.47,,2.73%
1/1/2009,85.83,81.18,86.81,80.85,,5.77%
12/1/2008,81.15,86.42,87.7,77.69,,-6.21%
11/1/2008,86.52,85.81,88.46,83.9,,1.04%
10/1/2008,85.63,79.2,87.88,78.95,,7.78%
9/1/2008,79.45,77.75,80.38,75.89,,2.68%
8/1/2008,77.38,73.22,77.62,73.2,,5.67%
7/1/2008,73.23,72.46,73.54,71.31,,1.06%
6/1/2008,72.46,72.87,74.31,72.04,,-0.58%
5/1/2008,72.88,72.57,73.89,71.82,,0.51%
4/1/2008,72.51,71.87,73.11,71.19,,0.99%
3/1/2008,71.8,73.75,73.95,70.7,,-2.59%
2/1/2008,73.71,75.23,77.04,73.56,,-1.96%
1/1/2008,75.18,76.35,77.35,74.97,,-1.97%
12/1/2007,76.69,75.93,77.85,75.59,,0.71%
11/1/2007,76.15,76.61,76.87,74.48,,-0.43%
10/1/2007,76.48,77.79,78.89,76.47,,-1.60%
9/1/2007,77.72,80.81,81.14,77.67,,-3.80%
8/1/2007,80.79,80.9,82.13,79.96,,0.02%
7/1/2007,80.77,81.87,81.95,80.02,,-1.40%
6/1/2007,81.92,82.31,83.27,81.7,,-0.46%
5/1/2007,82.3,81.42,82.6,81.25,,1.04%
4/1/2007,81.45,82.91,83.21,81.27,,-1.78%
3/1/2007,82.93,83.62,84.38,82.64,,-0.77%
2/1/2007,83.57,84.65,85.21,83.4,,-1.23%
1/1/2007,84.61,83.46,85.43,83.15,,1.06%
12/1/2006,83.72,82.91,84.22,82.24,,0.96%
11/1/2006,82.92,85.29,85.93,82.79,,-2.81%
10/1/2006,85.32,86.01,87.3,85.21,,-0.76%
9/1/2006,85.97,85.09,86.22,84.73,,1.08%
